pt,age_group,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
AMPHETAMINES POSITIVE,<65,2,642,9,656928,,,,,False
VIOLENCE-RELATED SYMPTOM,<65,1,642,32,656928,,,,,False
DROOLING,<65,18,642,267,656928,77.8928,48.2587,125.7243,0.0000,True
URINARY RETENTION,<65,45,642,941,656928,55.6703,40.8939,75.7859,0.0000,True
TACHYPHRENIA,<65,3,642,128,656928,28.6151,9.8644,83.0076,0.0000,True
"HALLUCINATION, AUDITORY",<65,14,642,678,656928,22.7626,13.4498,38.5236,0.0000,True
SALIVARY HYPERSECRETION,<65,9,642,426,656928,23.5580,12.3254,45.0273,0.0000,True
VOMITING PROJECTILE,<65,1,642,195,656928,,,,,False
INTRUSIVE THOUGHTS,<65,2,642,129,656928,,,,,False
NEGATIVE THOUGHTS,<65,3,642,144,656928,25.3788,8.7630,73.5002,0.0000,True
PSYCHOTIC DISORDER,<65,9,642,1195,656928,8.2797,4.3520,15.7525,0.0000,True
PARANOIA,<65,7,642,559,656928,14.0069,6.7858,28.9123,0.0000,True
SEDATION COMPLICATION,<65,0,642,143,656928,,,,,False
MANIA,<65,6,642,585,656928,11.5550,5.3130,25.1308,0.0000,True
AKATHISIA,<65,3,642,590,656928,6.1084,2.1298,17.5192,0.0008,True
ANGER,<65,9,642,921,656928,10.7704,5.6568,20.5066,0.0000,True
SCHIZOPHRENIA,<65,1,642,641,656928,,,,,False
VOMITING,<65,126,642,20456,656928,7.6612,6.3043,9.3102,0.0000,True
ANURIA,<65,1,642,264,656928,,,,,False
HICCUPS,<65,3,642,239,656928,15.1822,5.2693,43.7440,0.0000,True
DELUSION,<65,3,642,385,656928,9.3851,3.2668,26.9617,0.0000,True
DYSURIA,<65,7,642,995,656928,7.8236,3.7983,16.1150,0.0000,True
NAUSEA,<65,133,642,29063,656928,5.6819,4.6943,6.8773,0.0000,True
DYSPEPSIA,<65,36,642,4278,656928,9.2495,6.6138,12.9354,0.0000,True
THINKING ABNORMAL,<65,4,642,442,656928,10.5411,4.1511,26.7678,0.0000,True
TREATMENT NONCOMPLIANCE,<65,14,642,3072,656928,4.9274,2.9241,8.3033,0.0000,True
HYPERHIDROSIS,<65,30,642,4454,656928,7.3364,5.0938,10.5664,0.0000,True
CONSTIPATION,<65,66,642,7805,656928,9.6661,7.4918,12.4715,0.0000,True
COLD SWEAT,<65,5,642,623,656928,9.1459,3.9364,21.2498,0.0000,True
"HALLUCINATION, VISUAL",<65,7,642,627,656928,12.4706,6.0447,25.7276,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,<65,26,642,3505,656928,8.0646,5.4587,11.9144,0.0000,True
DRY MOUTH,<65,21,642,3288,656928,6.9137,4.4914,10.6422,0.0000,True
VISION BLURRED,<65,27,642,4584,656928,6.3892,4.3557,9.3720,0.0000,True
EXTRAPYRAMIDAL DISORDER,<65,2,642,540,656928,,,,,False
MOVEMENT DISORDER,<65,4,642,967,656928,4.7935,1.8925,12.1414,0.0009,True
PRODUCT SUPPLY ISSUE,<65,3,642,452,656928,7.9854,2.7816,22.9243,0.0001,True
INCREASED APPETITE,<65,5,642,951,656928,5.9735,2.5743,13.8612,0.0000,True
SEDATION,<65,4,642,2200,656928,2.0987,0.8296,5.3094,0.1175,False
AGGRESSION,<65,7,642,1614,656928,4.8064,2.3359,9.8900,0.0000,True
RETCHING,<65,3,642,790,656928,4.5556,1.5897,13.0556,0.0048,True
ADVERSE EVENT,<65,3,642,1808,656928,1.9839,0.6932,5.6781,0.2016,False
ABNORMAL BEHAVIOUR,<65,2,642,764,656928,,,,,False
TACHYCARDIA,<65,9,642,4014,656928,2.4421,1.2859,4.6378,0.0064,True
HEART RATE INCREASED,<65,8,642,3632,656928,2.4123,1.2251,4.7499,0.0109,True
SUICIDAL IDEATION,<65,8,642,3748,656928,2.3371,1.1869,4.6017,0.0141,True
HYPERSOMNIA,<65,2,642,821,656928,,,,,False
DYSKINESIA,<65,2,642,1043,656928,,,,,False
GASTROINTESTINAL DISORDER,<65,10,642,5188,656928,2.0873,1.1336,3.8433,0.0182,True
PRODUCT ADMINISTRATION ERROR,<65,2,642,867,656928,,,,,False
AGITATION,<65,8,642,2207,656928,3.9838,2.0222,7.8483,0.0001,True
THERAPEUTIC RESPONSE UNEXPECTED,<65,4,642,905,656928,5.1237,2.0226,12.9796,0.0006,True
TREMOR,<65,17,642,4284,656928,4.2746,2.6557,6.8805,0.0000,True
SOMNOLENCE,<65,19,642,6853,656928,2.9719,1.8924,4.6673,0.0000,True
HALLUCINATION,<65,10,642,1487,656928,7.3573,3.9896,13.5677,0.0000,True
ABDOMINAL DISCOMFORT,<65,14,642,6705,656928,2.2397,1.3300,3.7716,0.0024,True
DYSPHAGIA,<65,9,642,3277,656928,2.9961,1.5773,5.6910,0.0008,True
AMPHETAMINES POSITIVE,≥65,0,53,0,413252,,,,,False
VIOLENCE-RELATED SYMPTOM,≥65,0,53,1,413252,,,,,False
DROOLING,≥65,0,53,102,413252,,,,,False
URINARY RETENTION,≥65,6,53,979,413252,57.9455,25.4675,131.8417,0.0000,True
TACHYPHRENIA,≥65,1,53,13,413252,,,,,False
"HALLUCINATION, AUDITORY",≥65,0,53,185,413252,,,,,False
SALIVARY HYPERSECRETION,≥65,0,53,170,413252,,,,,False
VOMITING PROJECTILE,≥65,0,53,55,413252,,,,,False
INTRUSIVE THOUGHTS,≥65,0,53,24,413252,,,,,False
NEGATIVE THOUGHTS,≥65,0,53,26,413252,,,,,False
PSYCHOTIC DISORDER,≥65,1,53,227,413252,,,,,False
PARANOIA,≥65,0,53,167,413252,,,,,False
SEDATION COMPLICATION,≥65,0,53,83,413252,,,,,False
MANIA,≥65,0,53,103,413252,,,,,False
AKATHISIA,≥65,0,53,54,413252,,,,,False
ANGER,≥65,0,53,198,413252,,,,,False
SCHIZOPHRENIA,≥65,0,53,57,413252,,,,,False
VOMITING,≥65,9,53,9119,413252,9.4689,4.6983,19.0835,0.0000,True
ANURIA,≥65,0,53,190,413252,,,,,False
HICCUPS,≥65,0,53,263,413252,,,,,False
DELUSION,≥65,0,53,341,413252,,,,,False
DYSURIA,≥65,3,53,956,413252,29.9649,10.1229,88.6991,0.0000,True
NAUSEA,≥65,12,53,14840,413252,8.0919,4.2986,15.2329,0.0000,True
DYSPEPSIA,≥65,3,53,2164,413252,13.1797,4.4571,38.9726,0.0000,True
THINKING ABNORMAL,≥65,0,53,196,413252,,,,,False
TREATMENT NONCOMPLIANCE,≥65,0,53,1314,413252,,,,,False
HYPERHIDROSIS,≥65,2,53,1961,413252,,,,,False
CONSTIPATION,≥65,6,53,7610,413252,7.2986,3.2145,16.5716,0.0000,True
COLD SWEAT,≥65,0,53,337,413252,,,,,False
"HALLUCINATION, VISUAL",≥65,1,53,717,413252,,,,,False
GASTROOESOPHAGEAL REFLUX DISEASE,≥65,1,53,1784,413252,,,,,False
DRY MOUTH,≥65,3,53,1732,413252,16.4890,5.5751,48.7685,0.0000,True
VISION BLURRED,≥65,0,53,2941,413252,,,,,False
EXTRAPYRAMIDAL DISORDER,≥65,0,53,141,413252,,,,,False
MOVEMENT DISORDER,≥65,1,53,781,413252,,,,,False
PRODUCT SUPPLY ISSUE,≥65,0,53,324,413252,,,,,False
INCREASED APPETITE,≥65,1,53,437,413252,,,,,False
SEDATION,≥65,0,53,521,413252,,,,,False
AGGRESSION,≥65,0,53,530,413252,,,,,False
RETCHING,≥65,0,53,396,413252,,,,,False
ADVERSE EVENT,≥65,0,53,1487,413252,,,,,False
ABNORMAL BEHAVIOUR,≥65,0,53,241,413252,,,,,False
TACHYCARDIA,≥65,0,53,1343,413252,,,,,False
HEART RATE INCREASED,≥65,3,53,1918,413252,14.8812,5.0319,44.0087,0.0000,True
SUICIDAL IDEATION,≥65,1,53,631,413252,,,,,False
HYPERSOMNIA,≥65,0,53,599,413252,,,,,False
DYSKINESIA,≥65,0,53,1062,413252,,,,,False
GASTROINTESTINAL DISORDER,≥65,1,53,2689,413252,,,,,False
PRODUCT ADMINISTRATION ERROR,≥65,1,53,647,413252,,,,,False
AGITATION,≥65,0,53,889,413252,,,,,False
THERAPEUTIC RESPONSE UNEXPECTED,≥65,1,53,618,413252,,,,,False
TREMOR,≥65,0,53,3410,413252,,,,,False
SOMNOLENCE,≥65,2,53,3388,413252,,,,,False
HALLUCINATION,≥65,0,53,2399,413252,,,,,False
ABDOMINAL DISCOMFORT,≥65,1,53,3456,413252,,,,,False
DYSPHAGIA,≥65,1,53,2174,413252,,,,,False
