drug_b,pt,ror,ror_lower95,ror_upper95,a_cobenfy,n_cobenfy,a_comparator,n_comparator,p_value,bonferroni_sig
olanzapine,NAUSEA,7.1967,6.0368,8.5794,314,1423,262,6926,0.0000,True
olanzapine,VOMITING,4.3975,3.6723,5.2659,239,1423,304,6926,0.0000,True
olanzapine,CONSTIPATION,3.7122,2.8866,4.7741,110,1423,153,6926,0.0000,True
olanzapine,DYSPEPSIA,7.2842,4.7315,11.2141,51,1423,35,6926,0.0000,True
olanzapine,DIARRHOEA,1.2795,0.8553,1.9142,30,1423,116,6926,0.2304,False
olanzapine,TACHYCARDIA,0.5771,0.3712,0.8969,22,1423,187,6926,0.0146,False
olanzapine,HYPERTENSION,0.9725,0.5884,1.6074,18,1423,92,6926,0.9135,False
olanzapine,BLOOD PRESSURE INCREASED,7.2489,3.3047,15.9003,15,1423,10,6926,0.0000,True
olanzapine,WEIGHT INCREASED,0.1115,0.0603,0.2063,10,1423,432,6926,0.0000,True
olanzapine,HYPERGLYCAEMIA,0.0769,0.0047,1.2573,0,1423,31,6926,0.0720,False
olanzapine,DIABETES MELLITUS,0.0405,0.0025,0.6561,0,1423,59,6926,0.0240,False
olanzapine,METABOLIC SYNDROME,0.0597,0.0037,0.9719,0,1423,40,6926,0.0477,False
olanzapine,BLOOD GLUCOSE INCREASED,0.1887,0.0369,0.9651,1,1423,38,6926,0.0452,False
olanzapine,DYSLIPIDAEMIA,0.0850,0.0052,1.3935,0,1423,28,6926,0.0841,False
olanzapine,DYSTONIA,0.0394,0.0079,0.1968,1,1423,180,6926,0.0001,True
olanzapine,AKATHISIA,0.1946,0.0935,0.4047,7,1423,183,6926,0.0000,True
olanzapine,PARKINSONISM,0.0599,0.0172,0.2089,2,1423,197,6926,0.0000,True
olanzapine,TARDIVE DYSKINESIA,0.0688,0.0137,0.3454,1,1423,104,6926,0.0011,False
olanzapine,EXTRAPYRAMIDAL DISORDER,0.0694,0.0241,0.1997,3,1423,237,6926,0.0000,True
olanzapine,TREMOR,0.5302,0.3449,0.8150,23,1423,212,6926,0.0038,False
olanzapine,HYPERPROLACTINAEMIA,0.0281,0.0017,0.4533,0,1423,85,6926,0.0118,False
olanzapine,GALACTORRHOEA,0.1183,0.0072,1.9578,0,1423,20,6926,0.1360,False
olanzapine,AMENORRHOEA,0.0794,0.0049,1.2996,0,1423,30,6926,0.0757,False
olanzapine,SOMNOLENCE,0.4677,0.3247,0.6736,32,1423,329,6926,0.0000,True
olanzapine,SEDATION,0.3254,0.1830,0.5788,12,1423,183,6926,0.0001,True
olanzapine,ELECTROCARDIOGRAM QT PROLONGED,0.0166,0.0010,0.2669,0,1423,143,6926,0.0038,False
olanzapine,URINARY RETENTION,6.5681,4.8029,8.9819,92,1423,72,6926,0.0000,True
olanzapine,DRY MOUTH,4.6972,2.9576,7.4599,35,1423,37,6926,0.0000,True
olanzapine,VISION BLURRED,4.4710,3.0455,6.5637,50,1423,56,6926,0.0000,True
olanzapine,INSOMNIA,0.8555,0.5721,1.2793,28,1423,161,6926,0.4473,False
olanzapine,HEADACHE,1.2834,0.8462,1.9466,28,1423,108,6926,0.2403,False
olanzapine,DIZZINESS,2.3326,1.7137,3.1750,61,1423,131,6926,0.0000,True
risperidone,NAUSEA,9.3789,7.7328,11.3754,314,1423,183,6254,0.0000,True
risperidone,VOMITING,7.2156,5.8721,8.8664,239,1423,170,6254,0.0000,True
risperidone,CONSTIPATION,5.8618,4.4043,7.8015,110,1423,88,6254,0.0000,True
risperidone,DYSPEPSIA,6.9686,4.4927,10.8089,51,1423,33,6254,0.0000,True
risperidone,DIARRHOEA,2.3184,1.4907,3.6055,30,1423,58,6254,0.0002,True
risperidone,TACHYCARDIA,1.1449,0.7174,1.8271,22,1423,86,6254,0.5706,False
risperidone,HYPERTENSION,2.3060,1.3107,4.0573,18,1423,35,6254,0.0037,False
risperidone,BLOOD PRESSURE INCREASED,10.5788,4.2255,26.4848,15,1423,6,6254,0.0000,True
risperidone,WEIGHT INCREASED,0.1031,0.0557,0.1907,10,1423,420,6254,0.0000,True
risperidone,HYPERGLYCAEMIA,0.2309,0.0134,3.9699,0,1423,9,6254,0.3125,False
risperidone,DIABETES MELLITUS,0.1184,0.0071,1.9661,0,1423,18,6254,0.1366,False
risperidone,METABOLIC SYNDROME,0.2309,0.0134,3.9699,0,1423,9,6254,0.3125,False
risperidone,BLOOD GLUCOSE INCREASED,0.1618,0.0317,0.8264,1,1423,40,6254,0.0286,False
risperidone,DYSLIPIDAEMIA,0.0973,0.0059,1.6049,0,1423,22,6254,0.1033,False
risperidone,DYSTONIA,0.0446,0.0089,0.2230,1,1423,144,6254,0.0002,True
risperidone,AKATHISIA,0.2223,0.1065,0.4642,7,1423,145,6254,0.0001,True
risperidone,PARKINSONISM,0.1159,0.0330,0.4075,2,1423,93,6254,0.0008,False
risperidone,TARDIVE DYSKINESIA,0.0996,0.0197,0.5033,1,1423,65,6254,0.0053,False
risperidone,EXTRAPYRAMIDAL DISORDER,0.0456,0.0159,0.1310,3,1423,320,6254,0.0000,True
risperidone,TREMOR,0.5712,0.3701,0.8816,23,1423,178,6254,0.0114,False
risperidone,HYPERPROLACTINAEMIA,0.0153,0.0010,0.2458,0,1423,140,6254,0.0032,False
risperidone,GALACTORRHOEA,0.0317,0.0020,0.5126,0,1423,68,6254,0.0151,False
risperidone,AMENORRHOEA,0.0717,0.0044,1.1730,0,1423,30,6254,0.0646,False
risperidone,SOMNOLENCE,0.5375,0.3715,0.7775,32,1423,260,6254,0.0010,False
risperidone,SEDATION,0.3279,0.1840,0.5844,12,1423,164,6254,0.0002,True
risperidone,ELECTROCARDIOGRAM QT PROLONGED,0.0308,0.0019,0.4978,0,1423,70,6254,0.0142,False
risperidone,URINARY RETENTION,6.6676,4.8251,9.2135,92,1423,64,6254,0.0000,True
risperidone,DRY MOUTH,6.7796,4.0127,11.4547,35,1423,23,6254,0.0000,True
risperidone,VISION BLURRED,5.3745,3.5591,8.1160,50,1423,42,6254,0.0000,True
risperidone,INSOMNIA,1.1462,0.7559,1.7379,28,1423,109,6254,0.5205,False
risperidone,HEADACHE,1.6716,1.0822,2.5820,28,1423,75,6254,0.0206,False
risperidone,DIZZINESS,4.3322,3.0400,6.1736,61,1423,64,6254,0.0000,True
aripiprazole,NAUSEA,6.7768,5.6396,8.1434,314,1423,221,5516,0.0000,True
aripiprazole,VOMITING,6.8357,5.5391,8.4358,239,1423,158,5516,0.0000,True
aripiprazole,CONSTIPATION,3.9343,3.0103,5.1419,110,1423,115,5516,0.0000,True
aripiprazole,DYSPEPSIA,5.3394,3.5021,8.1407,51,1423,38,5516,0.0000,True
aripiprazole,DIARRHOEA,1.2559,0.8315,1.8970,30,1423,94,5516,0.2788,False
aripiprazole,TACHYCARDIA,1.7378,1.0538,2.8659,22,1423,50,5516,0.0304,False
aripiprazole,HYPERTENSION,0.6266,0.3820,1.0279,18,1423,113,5516,0.0642,False
aripiprazole,BLOOD PRESSURE INCREASED,5.2683,2.4514,11.3224,15,1423,11,5516,0.0000,True
aripiprazole,WEIGHT INCREASED,0.1041,0.0562,0.1928,10,1423,367,5516,0.0000,True
aripiprazole,HYPERGLYCAEMIA,0.0821,0.0050,1.3527,0,1423,23,5516,0.0803,False
aripiprazole,DIABETES MELLITUS,0.0346,0.0021,0.5599,0,1423,55,5516,0.0179,False
aripiprazole,METABOLIC SYNDROME,0.0728,0.0044,1.1949,0,1423,26,5516,0.0665,False
aripiprazole,BLOOD GLUCOSE INCREASED,0.1501,0.0293,0.7676,1,1423,38,5516,0.0227,False
aripiprazole,DYSLIPIDAEMIA,0.0653,0.0040,1.0700,0,1423,29,5516,0.0558,False
aripiprazole,DYSTONIA,0.0329,0.0066,0.1642,1,1423,171,5516,0.0000,True
aripiprazole,AKATHISIA,0.1167,0.0563,0.2419,7,1423,239,5516,0.0000,True
aripiprazole,PARKINSONISM,0.0788,0.0225,0.2759,2,1423,120,5516,0.0001,True
aripiprazole,TARDIVE DYSKINESIA,0.0516,0.0103,0.2587,1,1423,110,5516,0.0003,False
aripiprazole,EXTRAPYRAMIDAL DISORDER,0.0674,0.0234,0.1944,3,1423,194,5516,0.0000,True
aripiprazole,TREMOR,0.4230,0.2751,0.6505,23,1423,210,5516,0.0001,True
aripiprazole,HYPERPROLACTINAEMIA,0.0237,0.0015,0.3828,0,1423,80,5516,0.0084,False
aripiprazole,GALACTORRHOEA,0.1682,0.0099,2.8554,0,1423,11,5516,0.2173,False
aripiprazole,AMENORRHOEA,0.1171,0.0070,1.9530,0,1423,16,5516,0.1352,False
aripiprazole,SOMNOLENCE,0.6161,0.4234,0.8966,32,1423,201,5516,0.0114,False
aripiprazole,SEDATION,0.2882,0.1617,0.5136,12,1423,164,5516,0.0000,True
aripiprazole,ELECTROCARDIOGRAM QT PROLONGED,0.0257,0.0016,0.4143,0,1423,74,5516,0.0099,False
aripiprazole,URINARY RETENTION,6.8363,4.8749,9.5867,92,1423,55,5516,0.0000,True
aripiprazole,DRY MOUTH,2.7133,1.7622,4.1778,35,1423,51,5516,0.0000,True
aripiprazole,VISION BLURRED,3.1081,2.1404,4.5133,50,1423,64,5516,0.0000,True
aripiprazole,INSOMNIA,0.5098,0.3433,0.7570,28,1423,212,5516,0.0008,False
aripiprazole,HEADACHE,0.6904,0.4614,1.0332,28,1423,158,5516,0.0717,False
aripiprazole,DIZZINESS,1.6664,1.2296,2.2583,61,1423,145,5516,0.0010,False
quetiapine,NAUSEA,3.8556,3.3206,4.4767,314,1423,621,9074,0.0000,True
quetiapine,VOMITING,2.3410,1.9982,2.7426,239,1423,721,9074,0.0000,True
quetiapine,CONSTIPATION,2.2758,1.8198,2.8461,110,1423,323,9074,0.0000,True
quetiapine,DYSPEPSIA,1.2952,0.9550,1.7567,51,1423,255,9074,0.0961,False
quetiapine,DIARRHOEA,0.4728,0.3258,0.6862,30,1423,401,9074,0.0001,True
quetiapine,TACHYCARDIA,0.4093,0.2662,0.6294,22,1423,342,9074,0.0000,True
quetiapine,HYPERTENSION,0.1510,0.0949,0.2404,18,1423,727,9074,0.0000,True
quetiapine,BLOOD PRESSURE INCREASED,6.4320,3.1740,13.0342,15,1423,15,9074,0.0000,True
quetiapine,WEIGHT INCREASED,0.1050,0.0569,0.1938,10,1423,599,9074,0.0000,True
quetiapine,HYPERGLYCAEMIA,0.0894,0.0055,1.4589,0,1423,35,9074,0.0901,False
quetiapine,DIABETES MELLITUS,0.0561,0.0035,0.9079,0,1423,56,9074,0.0426,False
quetiapine,METABOLIC SYNDROME,0.1077,0.0066,1.7637,0,1423,29,9074,0.1182,False
quetiapine,BLOOD GLUCOSE INCREASED,0.2352,0.0461,1.2014,1,1423,40,9074,0.0819,False
quetiapine,DYSLIPIDAEMIA,0.1042,0.0064,1.7044,0,1423,30,9074,0.1127,False
quetiapine,DYSTONIA,0.0503,0.0101,0.2509,1,1423,186,9074,0.0003,False
quetiapine,AKATHISIA,0.4256,0.2028,0.8935,7,1423,111,9074,0.0240,False
quetiapine,PARKINSONISM,0.0687,0.0197,0.2393,2,1423,226,9074,0.0000,True
quetiapine,TARDIVE DYSKINESIA,0.0833,0.0166,0.4173,1,1423,113,9074,0.0025,False
quetiapine,EXTRAPYRAMIDAL DISORDER,0.1386,0.0480,0.4003,3,1423,158,9074,0.0003,False
quetiapine,TREMOR,0.5003,0.3274,0.7644,23,1423,294,9074,0.0014,False
quetiapine,HYPERPROLACTINAEMIA,0.0571,0.0035,0.9246,0,1423,55,9074,0.0439,False
quetiapine,GALACTORRHOEA,0.1353,0.0082,2.2287,0,1423,23,9074,0.1617,False
quetiapine,AMENORRHOEA,0.1928,0.0116,3.2161,0,1423,16,9074,0.2516,False
quetiapine,SOMNOLENCE,0.3846,0.2687,0.5507,32,1423,519,9074,0.0000,True
quetiapine,SEDATION,0.4244,0.2387,0.7546,12,1423,185,9074,0.0035,False
quetiapine,ELECTROCARDIOGRAM QT PROLONGED,0.0141,0.0009,0.2263,0,1423,220,9074,0.0026,False
quetiapine,URINARY RETENTION,6.7462,5.0283,9.0509,92,1423,92,9074,0.0000,True
quetiapine,DRY MOUTH,0.8583,0.6018,1.2242,35,1423,262,9074,0.3990,False
quetiapine,VISION BLURRED,4.3249,3.0177,6.1982,50,1423,76,9074,0.0000,True
quetiapine,INSOMNIA,0.4923,0.3348,0.7238,28,1423,361,9074,0.0003,False
quetiapine,HEADACHE,0.2382,0.1631,0.3479,28,1423,716,9074,0.0000,True
quetiapine,DIZZINESS,0.7495,0.5718,0.9823,61,1423,515,9074,0.0367,False
lurasidone,NAUSEA,7.7430,5.2204,11.4845,314,1423,28,806,0.0000,True
lurasidone,VOMITING,6.7413,4.3713,10.3962,239,1423,23,806,0.0000,True
lurasidone,CONSTIPATION,3.7953,2.2747,6.3325,110,1423,17,806,0.0000,True
lurasidone,DYSPEPSIA,8.6142,2.9073,25.5230,51,1423,3,806,0.0001,True
lurasidone,DIARRHOEA,2.6955,1.1507,6.3141,30,1423,6,806,0.0224,False
lurasidone,TACHYCARDIA,0.7691,0.4051,1.4604,22,1423,16,806,0.4224,False
lurasidone,HYPERTENSION,0.6721,0.3403,1.3274,18,1423,15,806,0.2525,False
lurasidone,BLOOD PRESSURE INCREASED,1.6037,0.6039,4.2586,15,1423,5,806,0.3432,False
lurasidone,WEIGHT INCREASED,0.1715,0.0853,0.3450,10,1423,33,806,0.0000,True
lurasidone,HYPERGLYCAEMIA,0.0806,0.0042,1.5631,0,1423,3,806,0.0960,False
lurasidone,DIABETES MELLITUS,0.0626,0.0034,1.1650,0,1423,4,806,0.0632,False
lurasidone,METABOLIC SYNDROME,0.0266,0.0016,0.4553,0,1423,10,806,0.0123,False
lurasidone,BLOOD GLUCOSE INCREASED,0.0260,0.0050,0.1339,1,1423,31,806,0.0000,True
lurasidone,DYSLIPIDAEMIA,0.1886,0.0077,4.6358,0,1423,1,806,0.3072,False
lurasidone,DYSTONIA,0.0229,0.0045,0.1177,1,1423,35,806,0.0000,True
lurasidone,AKATHISIA,0.0847,0.0390,0.1838,7,1423,47,806,0.0000,True
lurasidone,PARKINSONISM,0.1334,0.0335,0.5314,2,1423,10,806,0.0043,False
lurasidone,TARDIVE DYSKINESIA,0.0426,0.0081,0.2246,1,1423,19,806,0.0002,True
lurasidone,EXTRAPYRAMIDAL DISORDER,0.0627,0.0207,0.1903,3,1423,30,806,0.0000,True
lurasidone,TREMOR,0.9171,0.4739,1.7749,23,1423,14,806,0.7973,False
lurasidone,HYPERPROLACTINAEMIA,0.0374,0.0021,0.6565,0,1423,7,806,0.0246,False
lurasidone,GALACTORRHOEA,0.1886,0.0077,4.6358,0,1423,1,806,0.3072,False
lurasidone,AMENORRHOEA,0.0626,0.0034,1.1650,0,1423,4,806,0.0632,False
lurasidone,SOMNOLENCE,0.7158,0.4231,1.2111,32,1423,25,806,0.2127,False
lurasidone,SEDATION,0.1634,0.0863,0.3093,12,1423,41,806,0.0000,True
lurasidone,ELECTROCARDIOGRAM QT PROLONGED,0.0626,0.0034,1.1650,0,1423,4,806,0.0632,False
lurasidone,URINARY RETENTION,1.0865,0.7590,1.5553,92,1423,48,806,0.6505,False
lurasidone,DRY MOUTH,2.1463,1.0434,4.4149,35,1423,9,806,0.0379,False
lurasidone,VISION BLURRED,6.5568,2.4902,17.2649,50,1423,4,806,0.0001,True
lurasidone,INSOMNIA,0.7835,0.4412,1.3915,28,1423,20,806,0.4051,False
lurasidone,HEADACHE,1.2981,0.6638,2.5383,28,1423,12,806,0.4458,False
lurasidone,DIZZINESS,2.6531,1.4625,4.8128,61,1423,13,806,0.0013,False
brexpiprazole,NAUSEA,26.7818,15.4412,46.4514,314,1423,13,1288,0.0000,True
brexpiprazole,VOMITING,20.6482,11.6290,36.6624,239,1423,12,1288,0.0000,True
brexpiprazole,CONSTIPATION,43.2914,12.3301,151.9980,110,1423,2,1288,0.0000,True
brexpiprazole,DYSPEPSIA,32.2070,6.3403,163.6021,51,1423,1,1288,0.0000,True
brexpiprazole,DIARRHOEA,2.0679,1.0848,3.9423,30,1423,13,1288,0.0273,False
brexpiprazole,TACHYCARDIA,3.1676,1.3191,7.6068,22,1423,6,1288,0.0099,False
brexpiprazole,HYPERTENSION,1.9829,0.8771,4.4828,18,1423,8,1288,0.1000,False
brexpiprazole,BLOOD PRESSURE INCREASED,2.1713,0.8662,5.4430,15,1423,6,1288,0.0982,False
brexpiprazole,WEIGHT INCREASED,0.3539,0.1725,0.7261,10,1423,26,1288,0.0046,False
brexpiprazole,HYPERGLYCAEMIA,0.3015,0.0123,7.4077,0,1423,1,1288,0.4629,False
brexpiprazole,DIABETES MELLITUS,0.0473,0.0028,0.8137,0,1423,9,1288,0.0355,False
brexpiprazole,METABOLIC SYNDROME,0.3015,0.0123,7.4077,0,1423,1,1288,0.4629,False
brexpiprazole,BLOOD GLUCOSE INCREASED,0.1420,0.0253,0.7961,1,1423,9,1288,0.0265,False
brexpiprazole,DYSLIPIDAEMIA,0.9052,0.0179,45.6537,0,1423,0,1288,0.9603,False
brexpiprazole,DYSTONIA,0.0927,0.0172,0.4987,1,1423,14,1288,0.0056,False
brexpiprazole,AKATHISIA,0.1675,0.0764,0.3670,7,1423,39,1288,0.0000,True
brexpiprazole,PARKINSONISM,0.1208,0.0322,0.4534,2,1423,18,1288,0.0017,False
brexpiprazole,TARDIVE DYSKINESIA,0.0522,0.0100,0.2716,1,1423,25,1288,0.0004,False
brexpiprazole,EXTRAPYRAMIDAL DISORDER,0.1900,0.0598,0.6037,3,1423,16,1288,0.0049,False
brexpiprazole,TREMOR,0.4586,0.2771,0.7589,23,1423,45,1288,0.0024,False
brexpiprazole,HYPERPROLACTINAEMIA,0.0289,0.0017,0.4828,0,1423,15,1288,0.0136,False
brexpiprazole,GALACTORRHOEA,0.1808,0.0087,3.7687,0,1423,2,1288,0.2697,False
brexpiprazole,AMENORRHOEA,0.3015,0.0123,7.4077,0,1423,1,1288,0.4629,False
brexpiprazole,SOMNOLENCE,0.7586,0.4727,1.2175,32,1423,38,1288,0.2524,False
brexpiprazole,SEDATION,0.4985,0.2486,0.9994,12,1423,22,1288,0.0498,False
brexpiprazole,ELECTROCARDIOGRAM QT PROLONGED,0.0198,0.0012,0.3263,0,1423,22,1288,0.0061,False
brexpiprazole,URINARY RETENTION,3.7411,2.3634,5.9218,92,1423,23,1288,0.0000,True
brexpiprazole,DRY MOUTH,7.2980,2.7289,19.5172,35,1423,4,1288,0.0001,True
brexpiprazole,VISION BLURRED,6.2823,2.9066,13.5787,50,1423,7,1288,0.0000,True
brexpiprazole,INSOMNIA,0.5338,0.3334,0.8546,28,1423,47,1288,0.0089,False
brexpiprazole,HEADACHE,4.7659,1.9070,11.9111,28,1423,5,1288,0.0008,False
brexpiprazole,DIZZINESS,2.3297,1.4495,3.7441,61,1423,24,1288,0.0005,False
