pt,a,expected,n_drug,n_reaction,N,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ebgm,eb05,ebgm_Q,ic,ic025,ic975,signal_prr,signal_ror,signal_ebgm,signal_bcpnn,n_methods_signal,ror_pvalue,ror_fdr,signal_ror_fdr
NAUSEA,314,51.7397,1423,65769,1808849,6.0985,5.5301,6.7254,1375.3415,7.5438,6.6543,8.5521,6.0624,5.5203,0.0891,2.6032,2.4438,2.7626,True,True,True,True,4,0.0000,0.0000,True
VOMITING,239,33.4421,1423,42510,1808849,7.1913,6.4044,8.0750,1288.6332,8.4432,7.3460,9.7042,7.1336,6.4064,0.0934,2.8398,2.6571,3.0225,True,True,True,True,4,0.0000,0.0000,True
CONSTIPATION,110,18.3731,1423,23355,1808849,6.0336,5.0420,7.2201,458.2436,6.4570,5.3153,7.8439,5.9695,5.0912,0.0889,2.5878,2.3189,2.8568,True,True,True,True,4,0.0000,0.0000,True
URINARY RETENTION,92,2.3121,1423,2939,1808849,41.2315,33.7423,50.3829,3448.7200,44.0264,35.5470,54.5284,39.1215,32.7553,0.6321,5.3214,5.0274,5.6154,True,True,True,True,4,0.0000,0.0000,True
DROOLING,30,0.5334,1423,678,1808849,59.6954,41.6725,85.5130,1574.9549,60.9801,42.2506,88.0122,54.6347,39.3754,0.8641,5.8359,5.3239,6.3480,True,True,True,True,4,0.0000,0.0000,True
DYSPEPSIA,51,7.4161,1423,9427,1808849,6.9714,5.3277,9.1221,251.8053,7.1954,5.4440,9.5103,6.8221,5.3930,0.0926,2.7953,2.4012,3.1893,True,True,True,True,4,0.0000,0.0000,True
VISION BLURRED,50,9.2326,1423,11736,1808849,5.4848,4.1808,7.1955,176.9106,5.6497,4.2638,7.4859,5.3871,4.2486,0.0874,2.4509,2.0530,2.8488,True,True,True,True,4,0.0000,0.0000,True
HYPERHIDROSIS,46,7.3280,1423,9315,1808849,6.3672,4.7958,8.4535,200.0269,6.5484,4.8855,8.7773,6.2299,4.8629,0.0903,2.6652,2.2505,3.0798,True,True,True,True,4,0.0000,0.0000,True
TREATMENT NONCOMPLIANCE,35,5.2323,1423,6651,1808849,6.8101,4.9169,9.4321,164.4487,6.9586,4.9827,9.7181,6.6156,4.9767,0.0920,2.7617,2.2871,3.2363,True,True,True,True,4,0.0000,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,36,6.0111,1423,7641,1808849,6.0914,4.4187,8.3972,145.3935,6.2253,4.4781,8.6543,5.9361,4.4837,0.0894,2.6016,2.1336,3.0696,True,True,True,True,4,0.0000,0.0000,True
DRY MOUTH,35,5.8577,1423,7446,1808849,6.0796,4.3899,8.4196,140.7421,6.2094,4.4467,8.6710,5.9211,4.4543,0.0893,2.5988,2.1242,3.0734,True,True,True,True,4,0.0000,0.0000,True
GASTROINTESTINAL DISORDER,30,9.9123,1423,12600,1808849,3.0796,2.1669,4.3768,39.0097,3.1251,2.1821,4.4757,3.0243,2.2229,0.0854,1.6210,1.1089,2.1330,True,True,True,True,4,0.0000,0.0000,True
SALIVARY HYPERSECRETION,15,0.6695,1423,851,1808849,23.5189,14.2687,38.7659,286.0827,23.7667,14.3413,39.3866,20.2354,12.9525,0.2442,4.5317,3.8135,5.2500,True,True,True,True,4,0.0000,0.0000,True
DYSURIA,16,2.2074,1423,2806,1808849,7.5050,4.6387,12.1426,80.2311,7.5813,4.6596,12.3350,7.0552,4.6169,0.0953,2.9013,2.2051,3.5974,True,True,True,True,4,0.0000,0.0000,True
SUICIDAL IDEATION,18,5.3015,1423,6739,1808849,3.4935,2.2201,5.4972,28.1954,3.5263,2.2276,5.5820,3.3843,2.2702,0.0853,1.8024,1.1450,2.4599,True,True,True,True,4,0.0000,0.0000,True
TACHYCARDIA,22,5.8797,1423,7474,1808849,3.8321,2.5417,5.7774,41.7026,3.8775,2.5550,5.8845,3.7258,2.5981,0.0851,1.9355,1.3394,2.5316,True,True,True,True,4,0.0000,0.0000,True
ADVERSE EVENT,24,5.6500,1423,7182,1808849,4.3441,2.9317,6.4369,56.6628,4.4026,2.9508,6.5686,4.2223,2.9907,0.0854,2.1159,1.5446,2.6871,True,True,True,True,4,0.0000,0.0000,True
HEART RATE INCREASED,24,6.6286,1423,8426,1808849,3.7009,2.4979,5.4833,43.1764,3.7482,2.5125,5.5917,3.6084,2.5558,0.0850,1.8854,1.3141,2.4567,True,True,True,True,4,0.0000,0.0000,True
"HALLUCINATION, AUDITORY",25,1.0510,1423,1336,1808849,24.6787,16.7351,36.3929,523.9643,25.1105,16.9099,37.2879,22.2853,15.8152,0.2711,4.5996,4.0396,5.1596,True,True,True,True,4,0.0000,0.0000,True
PSYCHOTIC DISORDER,26,1.7795,1423,2262,1808849,15.0393,10.2904,21.9797,316.8386,15.3055,10.3983,22.5285,14.0137,10.0534,0.1484,3.8956,3.3463,4.4449,True,True,True,True,4,0.0000,0.0000,True
DELUSION,8,1.1265,1423,1432,1808849,7.5737,3.8667,14.8344,36.1153,7.6132,3.8713,14.9718,6.7534,3.6969,0.0960,2.9146,1.9447,3.8844,True,True,True,True,4,0.0000,0.0000,True
AKATHISIA,7,0.7269,1423,924,1808849,10.3754,5.0668,21.2460,45.9100,10.4251,5.0719,21.4282,8.8212,4.6263,0.1102,3.3658,2.3333,4.3983,True,True,True,True,4,0.0000,0.0000,True
VOMITING PROJECTILE,6,0.2832,1423,360,1808849,23.2728,10.7320,50.4677,96.1901,23.3749,10.7416,50.8663,16.9741,8.3073,0.2170,4.5180,3.4089,5.6271,True,True,True,True,4,0.0000,0.0000,True
COLD SWEAT,6,1.0431,1423,1326,1808849,6.2478,2.8960,13.4791,19.0709,6.2718,2.8969,13.5786,5.4970,2.7412,0.0914,2.6384,1.5293,3.7476,True,True,True,True,4,0.0000,0.0000,True
INTRUSIVE THOUGHTS,3,0.1731,1423,220,1808849,20.4249,7.1133,58.6469,31.3138,20.4727,7.1118,58.9350,12.4692,4.5989,0.1723,4.3341,2.8227,5.8456,True,True,True,True,4,0.0000,0.0000,True
AMPHETAMINES POSITIVE,3,0.0189,1423,24,1808849,206.6238,66.8446,638.6965,326.3090,207.1304,66.8483,641.7965,130.3599,32.1500,0.9418,7.5041,5.9926,9.0155,True,True,True,True,4,0.0000,0.0000,True
TACHYPHRENIA,4,0.1762,1423,224,1808849,25.9033,10.2010,65.7760,62.7495,25.9822,10.2025,66.1679,16.4415,6.7987,0.2280,4.6708,3.3378,6.0037,True,True,True,True,4,0.0000,0.0000,True
THINKING ABNORMAL,5,0.7765,1423,987,1808849,7.1053,3.0783,16.4004,17.8801,7.1289,3.0786,16.5083,6.0310,2.8148,0.0947,2.8232,1.6175,4.0289,True,True,True,True,4,0.0000,0.0000,True
SEDATION,12,2.6598,1423,3381,1808849,4.7086,2.7086,8.1855,29.4599,4.7415,2.7142,8.2829,4.4495,2.7243,0.0865,2.2318,1.4320,3.0316,True,True,True,True,4,0.0000,0.0000,True
PARANOIA,12,0.9039,1423,1149,1808849,13.9479,8.0073,24.2960,124.3904,14.0626,8.0339,24.6152,12.2750,7.5002,0.1362,3.7885,2.9887,4.5883,True,True,True,True,4,0.0000,0.0000,True
ANGER,13,1.4813,1423,1883,1808849,9.1607,5.3767,15.6076,82.1106,9.2388,5.3952,15.8206,8.4011,5.2428,0.1036,3.1871,2.4175,3.9567,True,True,True,True,4,0.0000,0.0000,True
AGGRESSION,11,2.4600,1423,3127,1808849,4.6836,2.6310,8.3376,26.3438,4.7136,2.6355,8.4303,4.4063,2.6388,0.0866,2.2242,1.3903,3.0580,True,True,True,True,4,0.0000,0.0000,True
SCHIZOPHRENIA,8,0.9897,1423,1258,1808849,8.6275,4.4035,16.9033,42.8913,8.6733,4.4092,17.0614,7.6037,4.1613,0.1009,3.1014,2.1315,4.0713,True,True,True,True,4,0.0000,0.0000,True
MANIA,8,0.8150,1423,1036,1808849,10.4898,5.3514,20.5620,54.9073,10.5467,5.3589,20.7568,9.0644,4.9575,0.1110,3.3814,2.4115,4.3513,True,True,True,True,4,0.0000,0.0000,True
"HALLUCINATION, VISUAL",10,1.6922,1423,2151,1808849,6.2233,3.4014,11.3864,36.0975,6.2621,3.4073,11.5087,5.7361,3.3489,0.0906,2.6326,1.7600,3.5052,True,True,True,True,4,0.0000,0.0000,True
MOVEMENT DISORDER,9,1.9376,1423,2463,1808849,4.9126,2.6033,9.2703,22.2736,4.9389,2.6061,9.3596,4.5548,2.5824,0.0873,2.2928,1.3754,3.2103,True,True,True,True,4,0.0000,0.0000,True
NEGATIVE THOUGHTS,3,0.1959,1423,249,1808849,18.0220,6.2827,51.6963,27.1274,18.0639,6.2812,51.9495,11.3917,4.2263,0.1553,4.1559,2.6444,5.6673,True,True,True,True,4,0.0000,0.0000,True
SEDATION COMPLICATION,3,0.2525,1423,321,1808849,13.9479,4.8706,39.9430,20.0217,13.9798,4.8692,40.1372,9.4381,3.5286,0.1292,3.7901,2.2786,5.3016,True,True,True,True,4,0.0000,0.0000,True
VIOLENCE-RELATED SYMPTOM,3,0.0448,1423,57,1808849,81.5121,27.6941,239.9147,134.5356,81.7105,27.6922,241.1009,43.8669,11.6442,0.6618,6.2733,4.7618,7.7847,True,True,True,True,4,0.0000,0.0000,True
INCREASED APPETITE,8,1.7756,1423,2257,1808849,4.7961,2.4504,9.3870,18.4934,4.8188,2.4522,9.4696,4.4155,2.4179,0.0872,2.2584,1.2885,3.2283,True,True,True,True,4,0.0000,0.0000,True
RETCHING,6,1.4530,1423,1847,1808849,4.4801,2.0777,9.6604,11.2922,4.4961,2.0778,9.7289,4.0461,2.0180,0.0873,2.1605,1.0514,3.2696,True,True,True,True,4,0.0001,0.0004,True
HICCUPS,4,0.5641,1423,717,1808849,8.0051,3.1730,20.1961,15.2999,8.0274,3.1725,20.3113,6.4605,2.7592,0.0987,2.9945,1.6615,4.3275,True,True,True,True,4,0.0000,0.0000,True
ANURIA,3,0.4366,1423,555,1808849,8.0406,2.8146,22.9701,9.7621,8.0579,2.8134,23.0789,6.1390,2.3095,0.0994,3.0011,1.4897,4.5126,True,True,True,True,4,0.0001,0.0003,True
EXTRAPYRAMIDAL DISORDER,3,0.7064,1423,898,1808849,4.9608,1.7387,14.1539,4.5594,4.9706,1.7377,14.2184,4.0798,1.5363,0.0901,2.3074,0.7959,3.8189,True,True,False,True,3,0.0028,0.0061,True
SOMNOLENCE,32,12.7632,1423,16224,1808849,2.5475,1.8129,3.5799,27.7769,2.5837,1.8241,3.6596,2.5095,1.8630,0.0868,1.3479,0.8519,1.8439,True,True,False,True,3,0.0000,0.0000,True
ABDOMINAL DISCOMFORT,28,12.5233,1423,15919,1808849,2.2763,1.5821,3.2750,18.0840,2.3024,1.5884,3.3372,2.2403,1.6287,0.0882,1.1858,0.6561,1.7155,True,True,False,True,3,0.0000,0.0000,True
ABNORMAL BEHAVIOUR,5,1.3043,1423,1658,1808849,4.2219,1.8308,9.7358,7.8429,4.2344,1.8303,9.7962,3.7635,1.7572,0.0875,2.0752,0.8695,3.2809,True,True,False,True,3,0.0007,0.0019,True
HALLUCINATION,14,5.9057,1423,7507,1808849,2.4560,1.4710,4.1006,9.8143,2.4710,1.4722,4.1474,2.3780,1.5107,0.0879,1.2953,0.5527,2.0379,True,True,False,True,3,0.0006,0.0016,True
DYSPHAGIA,14,6.3509,1423,8073,1808849,2.2836,1.3678,3.8125,8.0899,2.2968,1.3684,3.8548,2.2139,1.4064,0.0887,1.1904,0.4478,1.9330,True,True,False,True,3,0.0016,0.0038,True
PRODUCT SUPPLY ISSUE,4,0.9251,1423,1176,1808849,4.8714,1.9331,12.2759,7.1766,4.8836,1.9323,12.3428,4.1819,1.7874,0.0890,2.2811,0.9481,3.6140,True,True,False,True,3,0.0008,0.0020,True
THERAPEUTIC RESPONSE UNEXPECTED,6,2.3373,1423,2971,1808849,2.7821,1.2909,5.9958,4.2902,2.7902,1.2901,6.0346,2.5786,1.2858,0.0881,1.4749,0.3658,2.5840,True,True,False,True,3,0.0091,0.0185,True
PRODUCT ADMINISTRATION ERROR,6,2.1776,1423,2768,1808849,2.9865,1.3857,6.4368,5.0811,2.9956,1.3850,6.4791,2.7594,1.3760,0.0876,1.5770,0.4679,2.6861,True,True,False,True,3,0.0053,0.0112,True
DYSKINESIA,7,2.3199,1423,2949,1808849,3.2352,1.5831,6.6114,7.5498,3.2470,1.5829,6.6607,3.0099,1.5806,0.0868,1.6921,0.6595,2.7246,True,True,False,True,3,0.0013,0.0031,True
HYPERSOMNIA,6,1.9101,1423,2428,1808849,3.4057,1.5799,7.3411,6.7615,3.4167,1.5795,7.3908,3.1264,1.5592,0.0870,1.7660,0.6569,2.8751,True,True,False,True,3,0.0018,0.0041,True
TREMOR,23,9.0642,1423,11522,1808849,2.5938,1.7363,3.8749,20.0591,2.6206,1.7424,3.9412,2.5404,1.7858,0.0869,1.3738,0.7905,1.9571,True,True,False,True,3,0.0000,0.0000,True
AGITATION,10,3.5747,1423,4544,1808849,2.9391,1.6076,5.3732,9.8540,2.9535,1.6083,5.4238,2.7982,1.6337,0.0867,1.5538,0.6812,2.4265,True,True,False,True,3,0.0005,0.0013,True
DIZZINESS,61,31.6083,1423,40179,1808849,1.9457,1.5234,2.4851,27.0297,1.9884,1.5398,2.5678,1.9326,1.5593,0.0901,0.9598,0.5992,1.3203,False,True,False,True,2,0.0000,0.0000,True
ABDOMINAL PAIN UPPER,28,14.9486,1423,19002,1808849,1.9064,1.3251,2.7428,10.6588,1.9250,1.3281,2.7900,1.8793,1.3661,0.0907,0.9304,0.4007,1.4601,False,True,False,True,2,0.0005,0.0014,True
ANGIOEDEMA,6,2.9414,1423,3739,1808849,2.2098,1.0255,4.7616,2.2319,2.2153,1.0245,4.7903,2.0664,1.0303,0.0906,1.1432,0.0341,2.2523,False,True,False,True,2,0.0432,0.0800,False
INSOMNIA,28,15.5387,1423,19752,1808849,1.8340,1.2748,2.6384,9.3166,1.8510,1.2771,2.6828,1.8084,1.3146,0.0914,0.8746,0.3449,1.4042,False,True,False,True,2,0.0011,0.0028,True
ORTHOSTATIC HYPOTENSION,3,0.9739,1423,1238,1808849,3.5956,1.2609,10.2531,2.3948,3.6020,1.2599,10.2978,3.0635,1.1533,0.0891,1.8444,0.3329,3.3558,False,True,False,True,2,0.0168,0.0331,True
MUSCLE TWITCHING,3,1.2241,1423,1556,1808849,2.8596,1.0031,8.1518,1.3321,2.8642,1.0022,8.1860,2.4847,0.9351,0.0901,1.5147,0.0032,3.0261,False,True,False,True,2,0.0495,0.0894,False
BLEPHAROSPASM,3,0.9904,1423,1259,1808849,3.5355,1.2399,10.0815,2.3042,3.5418,1.2389,10.1254,3.0172,1.1359,0.0891,1.8201,0.3087,3.3316,False,True,False,True,2,0.0183,0.0347,True
OFF LABEL USE,97,106.6175,1423,135527,1808849,0.9138,0.7544,1.1068,0.8435,0.9074,0.7387,1.1147,0.9115,0.7693,0.1071,-0.1295,-0.4158,0.1569,False,False,False,False,0,0.3548,0.4566,False
DRUG INEFFECTIVE,34,82.7627,1423,105204,1808849,0.4164,0.2994,0.5790,29.9057,0.4019,0.2867,0.5634,0.4135,0.3097,0.1355,-1.2629,-1.7443,-0.7815,False,False,False,False,0,0.0000,0.0000,True
DIARRHOEA,30,48.9296,1423,62197,1808849,0.6227,0.4383,0.8847,7.1945,0.6145,0.4292,0.8797,0.6174,0.4537,0.1200,-0.6824,-1.1944,-0.1704,False,False,False,False,0,0.0078,0.0163,True
ADVERSE DRUG REACTION,9,8.2791,1423,10524,1808849,1.1467,0.6082,2.1618,0.0059,1.1477,0.6062,2.1729,1.1076,0.6276,0.1026,0.1979,-0.7195,1.1153,False,False,False,False,0,0.6724,0.7263,False
PALPITATIONS,10,7.0503,1423,8962,1808849,1.4887,0.8146,2.7206,0.8561,1.4923,0.8129,2.7395,1.4379,0.8393,0.0963,0.5740,-0.2986,1.4467,False,False,False,False,0,0.1965,0.2879,False
HOSPITALISATION,11,13.8127,1423,17558,1808849,0.8318,0.4677,1.4795,0.3913,0.8305,0.4647,1.4840,0.8105,0.4851,0.1113,-0.2649,-1.0987,0.5689,False,False,False,False,0,0.5305,0.6147,False
MALAISE,11,25.9733,1423,33016,1808849,0.4422,0.2487,0.7865,8.2215,0.4377,0.2450,0.7821,0.4322,0.2586,0.1342,-1.1759,-2.0098,-0.3421,False,False,False,False,0,0.0053,0.0112,True
ANXIETY,12,16.2569,1423,20665,1808849,0.7682,0.4423,1.3343,0.8789,0.7661,0.4389,1.3372,0.7505,0.4593,0.1137,-0.3797,-1.1795,0.4201,False,False,False,False,0,0.3485,0.4525,False
CONFUSIONAL STATE,12,9.7762,1423,12427,1808849,1.2779,0.7357,2.2198,0.3063,1.2804,0.7335,2.2350,1.2434,0.7611,0.0995,0.3540,-0.4458,1.1538,False,False,False,False,0,0.3846,0.4783,False
ABDOMINAL PAIN,14,16.9728,1423,21575,1808849,0.8536,0.5114,1.4247,0.3649,0.8521,0.5078,1.4297,0.8362,0.5311,0.1102,-0.2277,-0.9703,0.5149,False,False,False,False,0,0.5443,0.6197,False
FEELING ABNORMAL,13,11.6493,1423,14808,1808849,1.1581,0.6809,1.9698,0.0627,1.1596,0.6783,1.9825,1.1302,0.7054,0.1018,0.2122,-0.5574,0.9818,False,False,False,False,0,0.5883,0.6646,False
